"gene","mean_expr","sd_expr","cv"
"YLR192C",2.05596856412066e-18,0.457350227691242,222450010020873568
"YMR034C",1.20676415720126e-17,0.463602494306569,38416992379170616
"YLR310C",0.000833333333333331,0.638326049074872,765.991258889849
"YCL041C",0.0014814814814815,0.933453899416668,630.081382106244
"YIL082W-A",0.000769230769230772,0.319861508492949,415.819961040832
"YPR170C",0.00222222222222223,0.655904151847094,295.156868331191
"YDL175C",0.0028,0.809683683092766,289.172743961702
"YGL245W",0.00148148148148151,0.379531124736661,256.183509197241
"YJR155W",0.00111111111111111,0.284555433741468,256.099890367321
"YDR467C",0.00185185185185184,0.436401694252484,235.656914896343
